Date,SPX,DTTF,EUS,HSI,BITCOIN,GOLD,USD
2014-04-30 00:00:00,1883.95,19.704,3198.39,22133.97,448.23,1291.6,79.474
2014-05-01 00:00:00,1883.68,19.497,3198.66,22133.97,460.93,1284.31,79.527
2014-05-02 00:00:00,1881.14,20.105,3177.89,22260.67,451.51,1299.7,79.516
2014-05-03 00:00:00,1881.14,20.105,3177.89,22260.67,451.51,1299.7,79.516
2014-05-04 00:00:00,1881.14,20.105,3177.89,22260.67,438.44,1299.7,79.516
2014-05-05 00:00:00,1884.66,20.15,3171.29,21976.33,430.34,1310.28,79.486
2014-05-06 00:00:00,1867.72,19.541,3149.79,21976.33,427.66,1308.05,79.093
2014-05-07 00:00:00,1878.21,19.079,3159.67,21746.26,447.46,1289.88,79.202
2014-05-08 00:00:00,1875.63,19.645,3204.3,21837.12,441.8,1289.43,79.361
2014-05-09 00:00:00,1878.48,19.846,3184.09,21862.99,452.29,1288.91,79.903
2014-05-10 00:00:00,1878.48,19.846,3184.09,21862.99,452.29,1288.91,79.903
2014-05-11 00:00:00,1878.48,19.846,3184.09,21862.99,436.17,1288.91,79.903
2014-05-12 00:00:00,1896.65,19.894,3206.97,22261.61,441.44,1295.8,79.901
2014-05-13 00:00:00,1897.45,19.75,3211.78,22352.38,437.55,1293.63,80.143
2014-05-14 00:00:00,1888.53,19.597,3210.42,22582.77,448.31,1305.97,80.073
2014-05-15 00:00:00,1870.85,19.582,3163.22,22730.86,447.38,1296.22,80.003
2014-05-16 00:00:00,1877.86,19.306,3172.72,22712.91,449.68,1293.52,80.043
2014-05-17 00:00:00,1877.86,19.306,3172.72,22712.91,449.68,1293.52,80.043
2014-05-18 00:00:00,1877.86,19.306,3172.72,22712.91,445.91,1293.52,80.043
2014-05-19 00:00:00,1885.08,19.333,3169.9,22704.5,449.06,1292.97,79.993
2014-05-20 00:00:00,1872.83,19.359,3163.93,22834.68,489.43,1294.37,80.041
2014-05-21 00:00:00,1888.03,19.492,3187.08,22836.52,494.18,1292.04,80.095
2014-05-22 00:00:00,1892.49,19.469,3187.63,22953.76,522.31,1294.1,80.254
2014-05-23 00:00:00,1900.53,19.593,3203.28,22965.86,532.48,1292.61,80.393
2014-05-24 00:00:00,1900.53,19.593,3203.28,22965.86,532.48,1292.61,80.393
2014-05-25 00:00:00,1900.53,19.593,3203.28,22965.86,574.93,1292.61,80.393
