Parameter,Mean,Std,Min,Q25,Median,Q75,Max
mu,0.000494573936580423,0.00127438168352291,-0.00273885940509138,-0.000222692890933797,0.000314843081804712,0.00112719908710028,0.00442088059854877
rho,-0.889779413437958,0.0394361198744654,-0.973716692395342,-0.916434425831263,-0.890305702392181,-0.868669334581834,-0.773236230520149
alpha,0.00265933327187466,0.000709464806809371,0.00106376587144625,0.00226740839382812,0.00265316924754958,0.00302171870592239,0.00459969106385905
beta,-2.18767117278662,0.314233590569164,-3.27355462544285,-2.35133517347104,-2.16763687639222,-2.03682268394294,-1.32561269701826
V0,0.00162489101280779,0.000700820125066938,0.000333421490521147,0.00115670542670851,0.00159758034338918,0.00210630941248117,0.00333924369894319
sigma_v,0.0661848937909218,0.0162143367297086,0.0285820387917509,0.0575223444497137,0.0651633732920888,0.0741598082900346,0.129003119064949
lambda,0.0067,8.72220945409378e-19,0.0067,0.0067,0.0067,0.0067,0.0067
mu_y,0.117045981163422,0.17695008268012,-0.406771273717745,0.0138086715246744,0.125454336613639,0.261005453974428,0.491285897030483
rho_j,-0.902573810500023,0.936231238072581,-3.68194561759654,-1.05880000539091,-1.05879999979707,-1.05631065529042,4.49567745661637
sigma_y,0.0883792772179171,0.109913022584039,2.29182282633327e-14,0.000941189088109383,0.0257037900615704,0.169843718394987,0.379498672943647
mu_v,0.00482177801837181,0.013314023999437,2.22044604925031e-14,1.22835488423709e-07,0.000113489880680792,0.00248362050792872,0.0791690480539776
