Parameter,Mean,Std,Min,Q25,Median,Q75,Max
mu,0.000168879855039284,0.000339507055228344,-0.000222692890933797,-7.99467725146675e-05,0.000348291582742721,0.000372853550667376,0.000381040873308928
rho,-0.87793310959272,0.0230287317678295,-0.898177147649128,-0.894318566869318,-0.882742824529888,-0.860345223581829,-0.852879356599143
alpha,0.00292030509425163,0.000560791694105952,0.0024167213818162,0.0025174283394665,0.00281954921241741,0.00334837081949531,0.00352464468852128
beta,-2.20447436766569,0.191430079600661,-2.38796404401034,-2.34584123720435,-2.21947281678638,-2.05935788584687,-2.00598624220036
V0,0.00281965664462771,0.000460469469065021,0.0024621180322644,0.00251099057486718,0.00265760820267554,0.00316883482487628,0.00333924369894319
sigma_v,0.0704023521733612,0.00848389006024911,0.0649049360067836,0.0652109364839822,0.0661289379155781,0.076662121427186,0.080173182597722
lambda,0.0067,0,0.0067,0.0067,0.0067,0.0067,0.0067
mu_y,0.172747536926326,0.0948631031541852,0.102158754617875,0.110494764073888,0.135502792441925,0.244311495899866,0.280581063719179
rho_j,0.794502843759803,3.20531237620111,-1.05878499734884,-1.05743473000866,-1.05338392798812,3.10841211046525,4.49567745661637
sigma_y,0.103241328078447,0.178819225672693,3.30340143864957e-14,3.4973127995979e-14,4.0790468824429e-14,0.23229298817646,0.309723984235266
mu_v,0.0102313413706352,0.0159649673550375,1.37691419388036e-06,0.00051730624771752,0.00206509424828844,0.0219869382741395,0.0286275529494232
