Parameter,Mean,Std,Min,Q25,Median,Q75,Max
mu,0.000204179890163378,0.000907783213321777,-0.00192416292458579,-0.000441289986137767,0.000164930518346717,0.000751723656177097,0.00275524201035614
rho,-0.887224409433424,0.0327553980430619,-0.999426281113344,-0.900492276339005,-0.890848018032279,-0.871070941724505,-0.785777203766632
alpha,0.00269712031599582,0.000618681918455377,0.00135789130294175,0.00226066233865529,0.00265109138114919,0.0030812217510513,0.00428125859815367
beta,-2.06698223534962,0.166659038013913,-2.60998391608388,-2.16801174571936,-2.06609590769924,-1.96832227156153,-1.62861433962198
V0,0.00170588289878068,0.000741774612216079,0.000431091399899934,0.00112437627680949,0.00162673638055604,0.00219160550367338,0.00408472699105881
sigma_v,0.061754069473098,0.00928284415527603,0.0391299591627795,0.056882526679287,0.0605323197472869,0.0683850969098601,0.0878412128505806
lambda,0.0067,8.72220945409378e-19,0.0067,0.0067,0.0067,0.0067,0.0067
mu_y,0.136261312103944,0.119491729213947,-0.162112385220997,0.0810620400595014,0.153583354576953,0.222125335703532,0.37562003749942
rho_j,-1.05093829117664,0.539374815154306,-4.99999999985238,-1.05934113026181,-1.0588,-1.05733114295799,0.688900077664902
sigma_y,0.0786464992934154,0.094144358606085,3.17697255691601e-14,0.0102900054711146,0.0291836110851883,0.127135849853459,0.389696790199477
mu_v,0.00784509643322617,0.022448662985106,2.24532982882576e-14,7.41634558923468e-06,0.00068407558147046,0.00578026267399551,0.171748258242237
