date,mu,rho,alpha,beta,V0,sigma_v,lambda,mu_y,sigma_y,SSE_SVJ,RMSE_SVJ,n_obs,n_contract,exitflag,elapsed_sec
2021-11-01,0.00341826095680048,0.275793693863192,0.000250527272585612,0.836292516391624,0.00226493274247378,0.0184422712808417,0.0067,-0.296637460485644,0.112067158227626,0.342198117514801,0.00483915035297504,14613,3790,2,1842.590283125
2021-11-02,0.00149860626297466,-0.392405310825394,0.00039759268785376,0.7712740682616,0.00109547573142693,0.0230553102807423,0.0067,0.0113802197558357,0.0848479215756248,0.884473614052834,0.00758020247107921,15393,4071,2,549.395647708333
2021-11-03,0.00273067170471988,0.295315752167128,0.000542878094912972,0.697994467292605,0.000565777712343518,0.0287595741257841,0.0067,-0.169326583259937,0.147547554747273,0.433816508450722,0.00573735613019185,13179,3473,2,573.639592
2021-11-04,0.00108772321569407,-0.0627964542166469,0.000351602377760118,0.803848832421552,0.00129956707582584,0.0258540494378317,0.0067,0.0983703833497463,0.172256207482468,0.541547534652741,0.00627531252714296,13752,3690,2,393.315690833333
2021-11-05,0.00307720632574443,0.391820148520515,0.000404101540823536,0.720068211247273,0.000886049781498067,0.0331380950363141,0.0067,-0.268375229349877,0.14579659164839,0.29625745307229,0.00424196385578179,16464,4323,2,1693.72426683333
2021-11-06,0.000713368754193332,-0.597979888093514,0.000288687196183534,0.854434486217778,0.000920986792786444,0.0339955746611388,0.0067,0.099353960674523,7.64228510840334e-08,0.331337603120693,0.00577208834245905,9945,2668,2,275.813197041667
2021-11-07,-0.000241795171620222,-0.413645665842628,0.000737862106618689,0.595737368507808,0.00026716821269215,1.00000234204745e-08,0.0067,0.180070131614329,0.161417615400493,0.335231454735333,0.00598747002661171,9351,2587,3,354.688991166667
2021-11-08,0.000562913363889684,-0.0644424099085898,0.000332527546190339,0.845359627161815,0.000467700841458356,0.0330129357541507,0.0067,0.139793567721283,0.2258315938895,0.621067561162999,0.00514918971904946,23424,6341,2,762.635896041667
2021-11-09,-0.000362781418922618,-0.353770869965137,0.000166451337024887,0.906570416285806,0.00063061868542919,0.0218757424860551,0.0067,0.187266259368169,0.379922434210161,0.900517145840055,0.00735624665657063,16641,4454,2,907.597556291667
2021-11-10,0.000303444192183114,0.174882925744973,0.000430686533143934,0.751784524294081,0.000951038692110273,0.0243298569870716,0.0067,0.100400968909821,0.0152742804516657,1.11254767205205,0.00730634268603042,20841,5484,2,980.20463875
2021-11-11,0.00129526020154464,-0.556029680780398,9.80435510973177e-05,0.882480760362309,0.00168307215942476,0.020742120279699,0.0067,-0.0215476537181084,0.345581375311932,0.18533959600318,0.00397599840156546,11724,3178,2,552.236450083333
