XBTUSD BGN Curncy,Date,Last Price,Closing Price 1d ago,
40378,2010-07-19,0.08,#N/A N/A,
40379,2010-07-20,0.07,0.08,
40380,2010-07-21,0.08,0.07,
40381,2010-07-22,0.05,0.08,
40382,2010-07-23,0.06,0.05,
40385,2010-07-26,0.06,0.06,
40386,2010-07-27,0.06,0.06,
40387,2010-07-28,0.06,0.06,
40388,2010-07-29,0.07,0.06,
40389,2010-07-30,0.06,0.07,
40392,2010-08-02,0.06,0.06,
40393,2010-08-03,0.06,0.06,
40394,2010-08-04,0.06,0.06,
40395,2010-08-05,0.06,0.06,
40396,2010-08-06,0.06,0.06,
40399,2010-08-09,0.07,0.06,
40400,2010-08-10,0.07,0.07,
40401,2010-08-11,0.07,0.07,
40402,2010-08-12,0.07,0.07,
40403,2010-08-13,0.06,0.07,
40406,2010-08-16,0.07,0.06,
40407,2010-08-17,0.07,0.07,
40408,2010-08-18,0.07,0.07,
40409,2010-08-19,0.07,0.07,
40410,2010-08-20,0.07,0.07,
40413,2010-08-23,0.06,0.07,
40414,2010-08-24,0.07,0.06,
40415,2010-08-25,0.06,0.07,
40416,2010-08-26,0.06,0.06,
40417,2010-08-27,0.07,0.06,
40420,2010-08-30,0.06,0.07,
40421,2010-08-31,0.06,0.06,
40422,2010-09-01,0.06,0.06,
40423,2010-09-02,0.06,0.06,
40424,2010-09-03,0.06,0.06,
40427,2010-09-06,0.06,0.06,
40428,2010-09-07,0.06,0.06,
40429,2010-09-08,0.06,0.06,
40430,2010-09-09,0.06,0.06,
40431,2010-09-10,0.06,0.06,
40434,2010-09-13,0.06,0.06,
40435,2010-09-14,0.06,0.06,
40436,2010-09-15,0.06,0.06,
40437,2010-09-16,0.06,0.06,
40438,2010-09-17,0.06,0.06,
40441,2010-09-20,0.06,0.06,
40442,2010-09-21,0.06,0.06,
40443,2010-09-22,0.06,0.06,
40444,2010-09-23,0.06,0.06,
40445,2010-09-24,0.06,0.06,
40448,2010-09-27,0.06,0.06,
40449,2010-09-28,0.06,0.06,
40450,2010-09-29,0.06,0.06,
40451,2010-09-30,0.06,0.06,
40452,2010-10-01,0.06,0.06,
40455,2010-10-04,0.06,0.06,
40456,2010-10-05,0.06,0.06,
40457,2010-10-06,0.06,0.06,
40458,2010-10-07,0.07,0.06,
40459,2010-10-08,0.09,0.07,
40462,2010-10-11,0.1,0.09,
40463,2010-10-12,0.09,0.1,
40464,2010-10-13,0.11,0.09,
